Number,Name,Affiliation,City,State,Rookie
595,Rip Roarin Robotics,Family Friends,Windsor,ME,False
2092,Excelerators,Winslow Junior High School,Winslow,ME,False
2728,Mega Builders,UMaine Cooperative Extension - Hancock County,Mariaville,ME,False
2956,LEGO Lords,Searsport Elementary,Searsport,ME,False
3483,Wall-EEE,Spruce Mountain Middle School,Jay,ME,False
3484,Really Inconvenient,Spruce Mountain Middle School,Jay,ME,False
3485,Talk Nerdy to Me,Spruce Mountain Middle School,Jay,ME,False
3486,Dumpster Divers,Spruce Mountain Middle School,Jay,ME,False
3655,Lego Luv,Dr Levesque Elementary School,Frenchville,ME,False
3656,Never Give Up,Dr Levesque Elementary School,Frenchville,ME,False
5291,Timberwolves,Trenton Elementary School,TRENTON,ME,False
5445,Super Sorters,Conners-Emerson School,Bar Harbor,ME,False
5446,Blue Maine Group,Conners-Emerson School,Bar Harbor,ME,False
5648,Neon Carrot Phish of Justice,Mt Desert Elementary School,Northeast Harbor,ME,False
6188,ASHS Robo Phantoms,Albert S Hall School,Waterville,ME,False
6553,Plasma Panthers,Waterville Junior High School,Waterville,ME,False
7656,The Riot Crew,South Portland High School,South Portland,ME,False
8396,Bag Plastic,Home School,South Paris,ME,False
9904,Bionical Beavers,Fort Kent Elementary School,Fort Kent,ME,False
9908,Blue Knights,Berwick Academy,South Berwick,ME,False
10063,St James Seahawks,St James School,Biddeford,ME,False
10146,Error 404 Team not Found,Bonny Eagle Middle School,Buxton,ME,False
10337,Factor-E,Family Friends,Buxton,ME,False
11892,Buckfield Bots,Buckfield Jr-Sr High School,Buckfield,ME,False
12143,The Seventh Sense,Auburn Middle School,Auburn,ME,False
12614,Brickmasters,After school program:  Mahoosuc kids association (MKA),Bethel,ME,False
12659,Cougar Compactors,Great Salt Bay Community School,Damariscotta,ME,False
13012,Dumpster Divers,Noble Middle School,Berwick,ME,False
13051,TechnicFreaks v2.0,Hall-Dale Middle School,Hallowell,ME,False
13535,Lego Pi,Messalonskee Middle School,Oakland,ME,False
13934,L-E-GNG-O,Neighborhood Group,Gray,ME,False
14402,Lathingamajiggy,Lamoine Consolidated School,Lamoine,ME,False
14405,Dumpster Divers,Lamoine Consolidated School,Lamoine,ME,False
14408,Land Sharks,Shapleigh School,Kittery,ME,True
14534,This Chicken is Too Spicy,Lewiston Middle School,Lewiston,ME,False
15198,Coyote Pups - Alpha,Leonard Middle School,Old Town,ME,False
15200,Coyote Pups - Gamma,Leonard Middle School,Old Town,ME,True
16492,Smart Fun Engineers,Smart Fun Learning Adventures,Farmington,ME,True
16604,Crusaders,Holy Cross School,South Portland,ME,True
16995,Small Kaler Bins of Doom,Dora L Small Elementary School,South Portland,ME,True
17380,Trash Trekkers,Searsport Elementary,Searsport,ME,True
17547,RoboRaiders,Home School,Gorham,ME,True
17978,Lawrence Junior High School Robotics,Lawrence Junior High School,Lawrence,ME,True
18958,Colossians Creators 3.17,Home School,Madison,ME,True
19210,Raider Robotics,Winslow Junior High School,Winslow,ME,False
19498,Curie-us Crew,Family Friends,Winter Harbor,ME,True
19714,Robo Ninjas,Family Friends,South Paris,ME,True
19739,Those Trashy Guys,Neighborhood Group,Kennebunk,ME,False
19740,Tesla Waffles,Neighborhood Group,Kennebunk,ME,False
19741,The Pink Panthers,Neighborhood Group,Kennebunk,ME,False
19821,Lego Catastrophe,Family Friends,Bangor,ME,True
19961,Foxbots,Friends School of Portland,Cumberland Foreside,ME,True
20026,Fort Fairfield RoboTigers,Fort Fairfield Middle/High School,Fort Fairfield,ME,True
20084,Team K.E.R.B. !!,Neighborhood Group,Kennebunk,ME,False
20085,The Junk Jammers,Neighborhood Group,Kennebunk,ME,False
20086,Styrofoam Stoppers,Neighborhood Group,Kennebunk,ME,False
20087,Masters of Machinery,Neighborhood Group,Kennebunk,ME,False
20356,Made in South China,China Middle School,S. China,ME,True
20658,The Nerd Birds,Cornville Regional Charter School,Cornville,ME,True
20878,Flying Green Explosive Mustaches of De*th,Center Drive School,Orrington,ME,True